user_id,anime_id,rating
1,1,9
1,5,8
1,20,7
1,21,9
1,1535,10
1,5114,10
1,9253,9
2,1,8
2,21,8
2,22,7
2,1535,9
2,5114,9
2,9253,8
2,11061,9
3,19,10
3,28,9
3,235,7
3,341,8
3,1535,9
3,5114,10
3,9253,9
4,20,6
4,21,8
4,22,7
4,245,9
4,1535,8
4,6547,8
4,9253,7
5,1,9
5,19,10
5,28,9
5,341,8
5,1535,10
5,5114,9
5,9253,10
5,11061,8
6,21,9
6,22,8
6,269,6
6,270,6
6,271,7
6,1535,8
6,16498,9
7,1,8
7,5,7
7,20,6
7,21,8
7,1535,9
7,5114,10
7,9253,8
8,19,9
8,28,8
8,33,9
8,341,7
8,457,8
8,1535,8
8,5114,9
9,20,7
9,21,9
9,22,8
9,245,8
9,1535,7
9,6547,8
9,16498,9
10,1,9
10,21,8
10,28,9
10,341,8
10,1535,9
10,5114,10
10,9253,9
10,11061,8
11,19,10
11,235,7
11,341,8
11,457,9
11,889,8
11,918,9
11,1535,8
12,20,6
12,21,8
12,22,7
12,1535,8
12,16498,9
12,23273,9
12,30276,8
13,1,8
13,28,9
13,33,8
13,341,7
13,1535,9
13,5114,9
13,9253,8
14,21,9
14,22,8
14,245,8
14,1535,7
14,6547,8
14,16498,9
14,28977,9
15,19,9
15,28,8
15,341,8
15,457,8
15,1535,9
15,5114,10
15,9253,9
16,20,7
16,21,8
16,22,7
16,1535,8
16,16498,8
16,30276,9
16,32281,8
17,1,9
17,5,8
17,28,9
17,1535,9
17,5114,9
17,9253,8
17,11061,8
18,21,8
18,22,7
18,245,8
18,1535,7
18,6547,8
18,16498,9
18,33255,8
19,19,10
19,28,8
19,33,9
19,341,8
19,1535,9
19,5114,9
19,9253,8
20,20,6
20,21,9
20,22,8
20,1535,8
20,16498,9
20,37510,9
20,38000,9
